,Hospital,State,City,LocalAddress,Pincode,Hospital Type,Hospital Ownership,User Ratings(out of 5)
158,Ahooja Eye & Dental Institute,Haryana,Gurgaon,"560/1, Dayanand Coloney, New Railway Road",122001,"ENT Clinic -Ear, Nose, and Throat",Government,3.5
159,Ahuja Nursing Home & Polyclinic,Maharashtra,Ulhasnagar,"Furniture Bazar,Ulhas Nagar,Dass Chambers,1St Floor",421002,Orthopedic Hospital or Clinic,Private,4.7
160,Aisha Memorial Hospital (Tsunami Project Only),Kerala,Manacaud,"Paruthikuzhy, Manacaud",695009,Pediatric Hospital,Proprietary,4.5
161,Ajani Hospital,Gujarat,Patan,"Sidharaj Jaysingh Marg, Sidhpur",384151,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.8
162,Ajanta Hospital & Ivf Centre Pvt Ltd,Uttar Pradesh,Lucknow,"#765, Near Krishna Cinema, Kanpur Road, Alambagh.",226005,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.3
163,Ajay Hospital,Uttar Pradesh,Meerut,"Bhopal Vihar, Garh Road, (Near -Radha Govind Engineering College), Meerut, Uttar Pradesh",250004,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.3
164,Ajay Medical Centre,Karnataka,Chellakere,Near Bus Stand Chellakere,577522,Cardiology Center,Government,4.3
165,Ajay Pratima Hospital,Uttar Pradesh,Bareilly,"57, Brijlok, Near Prem Nagar Dharam Kanta Bareilly",243005,Cardiology Center,Government,3.1
166,Ajit Surgical & Maternity Home,Karnataka,Belgaum,"Chikkodi Road,Raibag",591317,Cancer Treatment Center or Oncology Hospital,Proprietary,3.1
167,Ajmer Hospital,Rajasthan,Ajmer,"# 158/X,Civil Lanes, Ajmer-305006.",305006,"ENT Clinic -Ear, Nose, and Throat",Private,3.5
168,Ajwani Eye Hospital Pvt. Ltd.,Madhya Pradesh,Bhopal,"# 115, Berasia Road, Bh0Pal Sindhi Colony, Bhopal-462018",462018,Psychiatric Hospital or Mental Health Clinic,Private,4.9
169,Ak Hospital,Tamilnadu,Chennai,"360 Poonamallee High Road,Junction Of Ph Rd &",600029,"ENT Clinic -Ear, Nose, and Throat",Private,3.9
170,Akanksha Maternity & Surgical Hospital,Maharashtra,Mumbai,"6, Manish Tower, Manish Nagar, J P Road, Ahdheri(W)J.P. Road, Andheri (W)",400053,Cancer Treatment Center or Oncology Hospital,Private,4.9
171,Akansha Orthopedic Centre,Rajasthan,Kota,"5-A-2, Vigyan Nagar.",324005,Cardiology Center,Voluntary non-profit ,4.4
172,Akar Hospital,Gujarat,Rajkot,"Ramkrishna Nagar Main Road, Virani School Chowk.",360002,General Hospital,Government,4
173,Akilesh Orthopaedics Hospitals,Tamilnadu,Coimbatore,"95-97, Sasthiri Road, Rammagar.",641009,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4
174,Akira Eye Hospital,Andhra Pradesh,Eastgodavari,"Aryapuram,Rajahmundry",533104,General Hospital,Private,4
175,Akshar Eye Hospital,Gujarat,Ahmedabad,"Kandhari Apartment, Opp S.T. Work Shop,Patia, Naroda Road.",382340,Dental Clinic,Government,3.2
176,Akshar Surgical Hospital,Gujarat,Ahmedabad,"2Nd Floor, Vidita Avenue, Near Jayhind,Char Rasta, Maninagar.",380008,General Hospital,Private,3.7
177,Akshardeep Orthopaedic Hospital,Gujarat,Ahmedabad,"2Nd Floor, Shubh Complex, Near Rajasthan Hospital, Shahibaugnr. Rajasthan Hospital,",380004,Dental Clinic,Voluntary non-profit ,3.6
178,Akshare Eye Foundation,Karnataka,Tumkur,"#6052 Railway Station Road,Opp Town Hall",572102,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.7
179,Akshay Eye Clinic,Maharashtra,Raigad,"#842,Mahatma Gandhi Road,Panvel",410206,Pediatric Hospital,Government,3.1
180,Akshay Hospital,Chattisgarh,Korba,"M.P. Nagar,",495681,"ENT Clinic -Ear, Nose, and Throat",Private,3.6
181,Akshay Hospital,Karnataka,Tumkur,"2Nd Cross, Ashoknagar",572102,Cancer Treatment Center or Oncology Hospital,Government,3.5
182,Akshay Mallya Hospital,Karnataka,Bangalore,"Varthur Main Road,Marathalli",560037,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.7
183,Akshay Medical Foundation,Maharashtra,Pune,"204/G Ward,Mg Roadlonawala",410401,"ENT Clinic -Ear, Nose, and Throat",Private,4.2
184,Akshaya Care Multi Speciality Hospital,Andhra Pradesh,Secunderabad,"#11-3-267/13, Near Raghava Gardens, Madhura Nagar, Srinivasanagar, Parsigutta,",500061,Eye Hospital or Ophthalmology Clinic,Government,4.3
185,Akshaya Heart Hospital,Madhya Pradesh,Bhopal,"Rishi Nagar, Char Imli, Opp Ekant Park.Bhopal, Madhya Pradesh",462016,Cancer Treatment Center or Oncology Hospital,Private,5
186,Akshaya Nethralaya,Karnataka,Bangalore,"#227/A,Vidyagiri Layout N Exit O Axis Bank Nagarbhavi Circle,Bangalore",560072,Pediatric Hospital,Voluntary non-profit ,3.1
187,Akshaya Nursing Home,Karnataka,Kolar,"3Dr Cross Gowripet, Kolar",563101,Cancer Treatment Center or Oncology Hospital,Proprietary,3.8
188,Akshayjyot Eye Hospial,Maharashtra,Buldana,"Yashowardhan,Mutthe Layout.",443001,Maternity Hospital or Birthing Center,Proprietary,4.9
189,Akshi Eye Care Centre,Uttar Pradesh,Kanpur,"2/344-A, Azad Nagar,Kanpur-200002.",200002,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.6
190,Akshitha Hospitals,Andhra Pradesh,Shamshabad,"H.No.11-32/6,Mahavir Enclave Phase-Ii,Shashabad",501218,Cardiology Center,Voluntary non-profit ,4.8
191,Al Salama Eye Hospital,Kerala,Kozhicode,Arayidathu Palam Jn By Pass Road Kozhikode,673004,Eye Hospital or Ophthalmology Clinic,Government,4.4
192,Al Salama Eye Hospital Ltd,Kerala,Malapuram,"55/5,Hospital Road,Perinthalmanna,Malapuram",679322,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.4
193,Al Shifa Hospital Pvt Ltd,Kerala,Malapuram,"Pb No. 26, Ooty Road Perintalmannaooty Road",679322,Orthopedic Hospital or Clinic,Private,4
194,Al-Arif Hospital,Kerala,Trivandrum,"Tc-48/659,Ambalathara,Poonthura Post,Near Milma Diary",695026,Cardiology Center,Voluntary non-profit ,3.1
195,Alam Hospital & Research Centre,Jharkhand,Ranchi,"Booty Road, Bariatu.",834009,Cardiology Center,Proprietary,3.5
196,Alapati Nursing Home,Andhra Pradesh,Tenali,"Gopalreddy Street, Ganganammapet.",522201,Pediatric Hospital,Private,4.7
197,Alatkar Hospital,Maharashtra,Pune,"Bhosale Garden,Opp 111 Bus Stop,Pune Solapur Road",411028,Orthopedic Hospital or Clinic,Government,4.7
198,Alchemist Hospitals Ltd,Haryana,Panchkula,"Sector 21,Near Main Market",134112,Dental Clinic,Private,3.3
199,Alchemist Institute Of Medical Science,Haryana,Gurgaon,Sector 53 Saraswatikunj Dlf Golf Course Road Gurgaon,122001,General Hospital,Private,4.1
200,Alexander Eye Centre,Kerala,Cochin,"34/629A,A1,B,",682024,Maternity Hospital or Birthing Center,Private,3.2
201,Alhat Nursing Home,Maharashtra,Pune,"Hira-Ratan Plaza,Pune Nashik Highway Pmt Chowk,Bhosari",411039,General Hospital,Voluntary non-profit ,4.6
202,All Asia Medical Institute (A Unit Of Harsh Medical Centre Pvt Ltd).,West Bengal,Kolkata,8B Garcha First Lane,700019,Dental Clinic,Voluntary non-profit ,3.5
203,Alled Hospital Limited (Tsunami Project Only),Kerala,Kunnamkulam,"2/333,Guruvayoor Road,",680521,General Hospital,Private,3.3
204,Alliance Hospital,Uttar Pradesh,Varanasi,"C-20/1-73,Ramakant Nagar Colony, Varanasi, Uttar Pradesh",221010,Orthopedic Hospital or Clinic,Private,3.5
205,Alluri Sitarama Raju Academy Of Medical Sciences,Andhra Pradesh,Eluru,"Malkapuram, Eluru Nh-5, Malkapuram.",534004,Dental Clinic,Proprietary,3.9
206,Almas Hospital,Kerala,Malapuram,"Changuvetty,Kottakal,Malappuram,",676503,Eye Hospital or Ophthalmology Clinic,Government,4.8
207,Alok Hospital,Rajasthan,Kota,"1-A-5, Sheela Choudhary Road",324005,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4.7
208,Alpha Ent Head And Neck Research Institute And Hospital,Kerala,Ernakulam,"Opp To Bsnl Tower,Deshabhimani Road,Kaloor,Ernakulam",682017,Cardiology Center,Private,4.7
209,Alpha Medical Services (Pvt) Ltd,West Bengal,Kolkata,"21/1, Dobson Road Howrahmaulana Abul Kalam Azad Rd",711101,Cardiology Center,Private,3.7
210,Alpha Medical Services Pvt Ltd,West Bengal,Kolkata,"#13, Lalalajpat Rai Sarani Elgin Road.",700020,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.2
211,Alpha Super Speciality Hospital,Andhra Pradesh,Hyderabad,"23-1-863. Bsides Mch Swimming Pool, Moghalpura.",500024,Maternity Hospital or Birthing Center,Government,4.3
212,Alphonsa Hospital,Kerala,Ernakulam,"Chruch,Karukutty",683576,Cancer Treatment Center or Oncology Hospital,Private,3.9
213,Alps Hospital (Max Hospital),Haryana,Gurgaon,"Block B, Sushant Lok Phase-1,Next To Park Plaza Hotel",122001,Psychiatric Hospital or Mental Health Clinic,Government,4.6
214,Altec Laser & Superspeciality Hospital,Punjab,Amritsar,B-2 Ranjit Avenue Amritsar,143001,Orthopedic Hospital or Clinic,Proprietary,4.3
215,Altius Healthcare Pvt Ltd,Delhi,Delhi,"A-6, Pushpanjali Enclave,Pitampurapithampura New Delhi",110034,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.9
216,Altius Healthcare Pvt Ltd,Delhi,Delhi,"#1,Gulshan Park, Main Rohtak Road, Mangloi-110041",110041,Pediatric Hospital,Proprietary,3.2
217,Alva Hospital Pvt Ltd,Tamilnadu,Pollachi,"74/A2, Meenkarai Road,Pollachi Coimbatore",642013,General Hospital,Proprietary,3.1
218,Amala Cancer Hospital & Research Centre,Kerala,Trichur,"Amalanagar, Trissur,Kerala-680555.",680555,Dental Clinic,Proprietary,3.1
219,Amar Leela Hospital (P) Ltd,Delhi,Delhi,"B-1/6, Janak Puri,Main Najafgarh Roadmain Najafgarh Road,",110058,Pediatric Hospital,Private,3.7
220,Amar Medical & Research Centre,Rajasthan,Jaipur,"Kiran Path,Mansarover",302020,Dental Clinic,Voluntary non-profit ,3.9
221,Amar Orthopaedic Hospital,Andhra Pradesh,Guntur,"13-2-12, 1St Line Gunturuvari Thota, Guntur-522001",522001,Eye Hospital or Ophthalmology Clinic,Private,3.6
222,Amaravathi Hospital,Tamilnadu,Karur,"#74, Ramanujam Nagar, Kovai Road, Karur, Tamilnadu.",639002,Maternity Hospital or Birthing Center,Government,3.9
223,Amaravathi Institute Of Medical Sciences Pvt Ltd,Andhra Pradesh,Guntur,"Old Club Road, Kothapeta.Oldclub Road Guntur",522001,Pediatric Hospital,Private,3.3
224,Amarawati Hospital,Haryana,Gurgaon,"Saraswati Enclave Near Power House, Opp. Sec. 10A, Gurgaon-122001, Haryana",122001,Dental Clinic,Proprietary,4.9
225,Amardeep Eye Care,Kerala,Thiruvananthapuram,"Tc 5/608, Gnp.2, Nalini Vilas, Thiruvananthapuram, Kerala",695005,Orthopedic Hospital or Clinic,Private,4.1
226,Amardeep Nursing Home,Maharashtra,Thane,"101 Ratna Tarang, Old Nagardas Road, Andheri (E)Old Nagardas Road,Andheri (E)",400069,Eye Hospital or Ophthalmology Clinic,Private,3.9
227,Ambaa Hospitals,Andhra Pradesh,Hyderabad,"#9-1-29/23,Opp To Pratap Theatre,Lunger House",500008,Pediatric Hospital,Voluntary non-profit ,4.5
228,Ambay Hospital,Uttar Pradesh,Ghaziabad,"1, Lajpat Nagar, Near St. Thomas School.",201005,Cardiology Center,Government,4.7
229,Ambika Hospital,Maharashtra,Solapur,"Murarji Peth, Solapur-413002.",413002,Pediatric Hospital,Private,4.2
230,Amee Deep Hospital,Gujarat,Baroda,"Gf-12, Narsinhadham Complex, Opp Sangam Bus Stop, Harni Road.",390022,General Hospital,Private,3.3
231,American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.),Andhra Pradesh,Hyderabad,"No. 1-111/4/B/104, Flat No. B-104, Kondapur, Kothaguda Post, Hyderabad, Andhra Pradesh",500084,General Hospital,Proprietary,3.9
232,Amijeet Maternity Hospital,Gujarat,Ahmedabad,"A/4, Shantram Complex, Near Nirnaynagar Garnala.",382481,Dental Clinic,Voluntary non-profit ,3.7
233,Amin Maternity And Nursing Home,Gujarat,Ahmedabad,"17, Manipushp Society, Opp:Sarathi-2, B/H Goyal Intercitynr. Surdhara Circle",380054,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.7
234,Amit Hospital,Orissa,Berhamapur,"Canal Street, Near Radhakrishna & Kuthari Temples Street,Berhampur",760001,Cardiology Center,Private,4.7
235,Amit Jaggi Memorial Hospital,Uttar Pradesh,Agra,"Sector-1, Vibhav Nagar,Agra-282001.",282001,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4
236,Amit Nursing Home,Delhi,Delhi,"A-3 Manak Vihar Ext,Tihar,Tihar",110018,Cardiology Center,Proprietary,3.6
237,Amma Children'S Hospital,Andhra Pradesh,Guntur,"No.137-7-109/D, Old Club Road, Gunturvari Thota, Guntur-522001",522001,Maternity Hospital or Birthing Center,Government,5
238,Amma Hospital,Andhra Pradesh,Vijayawada,"9-64-2,Syed Gulab Street,Kothapet",520001,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.5
239,Amma Hospital,Karnataka,Anekal,"32/515,Near Sri Rama Temple",562106,Cardiology Center,Proprietary,3.6
240,Amma Hospital,Tamilnadu,Chennai,"# 1, Sowrastra Nagar7Th Street, Chennai",600094,Pediatric Hospital,Voluntary non-profit ,4.4
241,Amma Hospital,Tamilnadu,Krishnagiri,"Bangalore Road, Hosur Town",635109,Pediatric Hospital,Voluntary non-profit ,4.9
242,Ammayi Eye Hospital,Tamilnadu,Chennai,"New # 80, 7Th Avenue, Ashoknagar, Chennai-600083",600083,Maternity Hospital or Birthing Center,Government,3.9
243,Amri Hospitals Ltd,West Bengal,Kolkata,"Jc 16 & 17, Salt Lake City, Sector - Iii, Annexe Build. Kb 24, Salt Lake City, Sector - Iii, Kolkata",700098,Psychiatric Hospital or Mental Health Clinic,Private,4.6
244,Amri Medical Center,West Bengal,Kolkata,"97A, Southern Avenue, Opp To Lake Stadium, Kolkata-700029",700029,Cancer Treatment Center or Oncology Hospital,Government,4.4
245,Amrik Nethralaya,Karnataka,Bangalore,"#346, Hrbr 1St Kalyan Nagar,4Th Cross, 7Th B Main.",560043,Dental Clinic,Voluntary non-profit ,4
246,Amrit Medicare Pvt Ltd,Tamilnadu,Chennai,"No.310,Mint Street,Near Sowcarpet, Chennai-600079",600079,Dental Clinic,Proprietary,3.7
247,Amritdhara Hospital Pvt Ltd,Haryana,Karnal,"Chaura Bazar,Near City Police Station",132001,Dental Clinic,Voluntary non-profit ,3.7
248,Amritsar Hospital,Punjab,Amritsar,100 Ft Road East Mohan Nagar,143001,Pediatric Hospital,Government,4.5
249,Amrut Hospital & Endoscopy Clinic,Maharashtra,Mumbai,"Dr. Rajendra Prasad Road, Tilak Nagar, Dombivali(E), Thane, Maharashtra",421201,Maternity Hospital or Birthing Center,Government,4.9
250,Amruth Hospital,Karnataka,Davangere,"#1643, Opp:K.E.B.Office, Vidyarthi Bhavan, Davangere",577003,Cardiology Center,Private,3.2
251,Amrutha Heart Hospital,Andhra Pradesh,Ongole,60 Feet Road Satyanarayanapuramsatyanarayanpuram,523002,Eye Hospital or Ophthalmology Clinic,Proprietary,3.7
252,Amrutha Hospital,Karnataka,Bangalore,# 1 Near Water Tank Jakkur Main Road Amruthahalli Bangalore 560092,560092,Cardiology Center,Private,4
253,Amrutha Nursing Home,Andhra Pradesh,Karimnagar,"3-3-168,Savaran Street,Besides Civil Hospital,Karimnagar",505001,General Hospital,Private,4.8
254,Amrutha Nursing Home Private Limited,Andhra Pradesh,Gajuwaka,"D.No.10-7-85,Kailash Nagar,Gajuwaka.Gajuwaka",530026,Maternity Hospital or Birthing Center,Government,3.2
255,Amudha Poly Clinic And Hospital,Tamilnadu,Erode,"101,Athani Road,Sathyamangalam,Erode",638401,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.7
256,Amulya Jyoti Eye Foundation,West Bengal,Kolkata,"#105,Manoharpukur Road,",700029,Dental Clinic,Voluntary non-profit ,4
257,Amulya Nursing Home,Andhra Pradesh,Guntur,"Guntur Road, Narasaraopet.",522601,Cancer Treatment Center or Oncology Hospital,Government,4.1
258,Anadiyil Hospital,Kerala,Trivandrum,"Thekkummood Junction, Trivandrm.",695037,Maternity Hospital or Birthing Center,Government,4.4
259,Anamay Eye Hospital,Gujarat,Ahmedabad,Off.C.G.Road Nr President Hotel Opp. Mahalya Builldingnavrangpura,380009,General Hospital,Government,5
260,Anamaya Nursing Home,Maharashtra,Pune,"Sn48/1B/5-Gokulnagar,Katraj Kondhwa Road,Kondhawa Budruk",411048,Pediatric Hospital,Private,4.7
261,Anand Eye Institute Private Limited,Andhra Pradesh,Hyderabad,"4Th Floor,Rata Tycoon,Tarnaka",500017,Dental Clinic,Proprietary,4.5
262,Anand Health Care Ltd,Delhi,Delhi,"21,Community Centre, Preet Viharpreet Vihar",110092,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.3
263,Anand Hospital,Delhi,Delhi,"B-52, New Krishna Park, Dholi Piao, Vikas Puri.",110018,Pediatric Hospital,Private,4.7
264,Anand Hospital,Uttar Pradesh,Allahabad,"11/17 Kasturba Gandhi Marg , Up, Allahabad Muir Road",211001,Orthopedic Hospital or Clinic,Voluntary non-profit ,3.7
265,Anand Hospital,Tamilnadu,Chennai,"201, Kamaraj Salai,Manali,Chennaimanali",600068,Cancer Treatment Center or Oncology Hospital,Government,4.2
266,Anand Hospital,Maharashtra,Jamkhed,"Nagar Road, Near S.T Stand,Ahemdnagar",413201,Cardiology Center,Private,3.5
267,Anand Hospital,Maharashtra,Pune,"Shrikrishnapalace,Sn 136,Near Malwadi Police Station Warje,Malwadi",411058,Orthopedic Hospital or Clinic,Government,3.2
268,Anand Hospital,Maharashtra,Pune,"Balaji Tower,Mahatma Phule Chowke,Chakan",410501,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.7
269,Anand Hospital,Maharashtra,Pune,"Sector-26,Plot 113, Hutatma Chowk Pradhikaran, Nigdi Pune-411044",411044,Maternity Hospital or Birthing Center,Government,5
270,Anand Hospital & Eye Centre,Rajasthan,Jaipur,"21, Bharat Mata Lane, Jamna Lal Bajaj Marg, C-Scheme, Jaipur-302001",302001,General Hospital,Private,4.1
271,Anand Hospital & Navdeep Eye Centre,Haryana,Panipat,"No.105,Adarsh Nagar Near Head Post Office,",132103,General Hospital,Voluntary non-profit ,4.8
272,Anand Hospital & Research Centre Pvt Ltd,Madhya Pradesh,Indore,"7, Sindhu Nagar, Bhanwarkua Main Road",452001,Orthopedic Hospital or Clinic,Proprietary,4.4
273,Anand Hospital (Multispeciality),Uttar Pradesh,Azamgarh,"Mukeriganj, Azamgarh, Uttar Pradesh",276001,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.5
274,Anand Hospitals,Tamilnadu,Tiruppur,"#97/54,Jg Nagar,2Nd Street,60 Feet Road,",641602,Maternity Hospital or Birthing Center,Government,4
275,Anand Maternity & Nursing Home,Maharashtra,Mumbai,"Saregram Complex, New Link Rd,Dahison (E), Mumbai-400068.",400068,Cardiology Center,Voluntary non-profit ,3.2
276,Anand Medical Centre,Haryana,Gurgaon,"# 171, Sector 56, Near Kendriya Vihar",122002,Dental Clinic,Voluntary non-profit ,4.6
277,Anand Medical Foundation Subudh Hospital,Maharashtra,Pune,"145,Kothrod Near Shivaji Statue",411038,"ENT Clinic -Ear, Nose, and Throat",Private,3.5
278,Anand Multispeciality Hospital,Gujarat,Ahmedabad,"Shubh Complex, Shahibuy, Near Rajsthan Hosptial.",380004,General Hospital,Government,3.3
279,Anand Multispeciality Hospital,Gujarat,Ahmedabad,"N.H.8,Hirawati",382350,Cancer Treatment Center or Oncology Hospital,Private,4.3
280,Anand Nirogdham Hospital Pvt Ltd,Uttar Pradesh,Meerut,"#A,1 Damodar Colony,Garh Road,",250004,Cancer Treatment Center or Oncology Hospital,Proprietary,3.8
281,Anand Nursing Home,Uttar Pradesh,Ghaziabad,"Kf-113, New Kavi Nagar.",201002,Eye Hospital or Ophthalmology Clinic,Government,4.9
282,Anand Nursing Home,Maharashtra,Kolhapur,"#1758 B/1, Sakoli Corner, K Ward.",416012,Cardiology Center,Proprietary,5
283,Anand Nursing Home,Maharashtra,Mumbai,"Divya Sarjan, 1St Floor, 90 Ft Road, Ganesh Chowk,Charkop,Kandivali West",400067,"ENT Clinic -Ear, Nose, and Throat",Proprietary,4.8
284,Anand Surgical Hospital Ltd.,Gujarat,Ahmedabad,"5, Janta Chambers, Nr,Saijpur Towernr. Saijpur Tower",382345,Dental Clinic,Proprietary,3.7
285,Anandaloke Hospital & Neurosciences Centre,West Bengal,Siliguri,"2Nd Mile,Sevoke Road,",734001,General Hospital,Proprietary,4.8
286,Anande Hospital,Maharashtra,Pune,"Near Old R T O Office,Ramnagar, Chandrapur,Near Old R.T.O. Office.",442402,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.5
287,Anandlok Hospital,West Bengal,Kolkata,"Dk-713,Salt Lake City, Sector-Ii, Kolkata.",700091,Orthopedic Hospital or Clinic,Government,3.5
288,Anandpara Surgical & General Hospital,Maharashtra,Mumbai,"Iqbal House, Rani Sati Marg Off.Pandit Socicitor Lane, Malad (East)Malad (E), Mumbai - 97",400097,General Hospital,Voluntary non-profit ,3.3
289,Anandrishiji Hospital & Medical Research Centre,Maharashtra,Ahmednagar,"124, Anand Rishiji Marg",414001,General Hospital,Private,3.8
290,Anant Nursing Home Pvt Ltd,Madhya Pradesh,Jabalpur,"Madan Mahal Station Road,Gate #3,Wright Town",482001,Psychiatric Hospital or Mental Health Clinic,Government,3.2
291,Anant Shree Hospital,Madhya Pradesh,Bhopal,"Indrapuri A- Sector, Opp. Bhel Gate # 1,Indrapuri",462021,Pediatric Hospital,Proprietary,4
292,Anantha Lakshmi Kidney & Multispeciality Hospital,Andhra Pradesh,Hyderabad,"H.No.3-9-10/4, Opp To Ramanathapur School, Ramanathapur, Hyderabad-500013",500013,Eye Hospital or Ophthalmology Clinic,Private,3.9
293,Ananthapuri Hospital & Research Institute,Kerala,Trivandrum,"Tc 31/1424, Nh By Pass Road,Chacka ,Thirvvananthapuram,Kerala",695024,Cardiology Center,Government,4.2
294,Ananya Hospital Pvt Ltd,Karnataka,Bangalore,"389/44, 19Th Main,Rajajinagarrajajinagar",560010,Eye Hospital or Ophthalmology Clinic,Government,4.1
295,Anasuya Institute Of Medical Sciences,Andhra Pradesh,Nellore,"16/2/142,Hotel Venkataramana Lane,Pogathota",524001,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.5
